"Attributionplacedemarche";"Referencearticle";"code_barre_ean";"ean_ve";"Titreannonce";"Descriptionarticle";"Descriptiondetailleearticle";"MotclefMarque";"Photo";"Photo2";"Photo3";"Photo4";"Photo5";"Photo6";"Photo7";"Photo8";"Photo9";"Photo10";"Monnaie";"TVAenpourcent";"Nombre_de_piece_par_unite_demballage";"Quantite_minimale_en_unite_demballage";"Prixnet_par_piece";"rabais_promotion";"Volumedegressif1";"Prixdegressif1";"Volumedegressif2";"Prixdegressif2";"Volumedegressif3";"Prixdegressif3";"Quantite_disponible_en_unite_demballage";"Recommandation_de_prix";"Boutique_Identificateurproduit1";"Boutique_Identificateurproduit2";"Boutique_Identificateurproduit3";"Echeance_le";"Poids";"collection";"statistical_number";"country_of_origin";"dangerous_goods";"energyEfficiency";"energyEffImage";"weightNetPcP";"weightGrossPcP";"volumeGrossPcP";"lengthPU";"widthPU";"heightPU";"lengthPc";"widthPc";"heightPc";"puPallet";"puLayerPallet";"hazardCode";"hazardName";"flashPoint";"electroClassification";"isBatterieIncluded";"isLithium";"VocPerc";"isFood";"color";"material";"charge";"mhd";"GPSRIsRequired";"certificate_CE";"certificate_additional";"availableLanguages";"producerName";"producerAddress";"productManagerEMail";"operatingInstructions";"instructionsDocument1";"instructionsDocument2";"instructionsDocument3";"warningNote";"warningNote1";"warningNote2";"warningNote3"
"fr";"CN-AFD45NS";"5404035006092";"";"Comfy Nest CN-AFD45NS : friteuse à air numérique d";"La friteuse à air argentée Comfy Nest CN-AFD45NS à double panier et sans fenêtre apporte une technologie de cuisson pratique à la cuisine. Son moteur puissant de 1700 W et ses deux paniers de 4,5 L permettent de préparer simultanément deux plats différents, chacun avec ses propres réglages. Elle convient aux plats principaux et accompagnements ou à deux recettes distinctes, tout en évitant le mélange des saveurs et l'utilisation de plusieurs appareils. Grâce à la technologie Fry Force 360° et à 10 programmes de cuisson préréglés, la CN-AFD45NS prépare des aliments croustillants avec peu ou pas d'huile. Sa plage de température de 80 °C à 200 °C et sa minuterie jusqu'à 60 minutes permettent de frire, rôtir ou cuire au four. Le panneau de commande tactile numérique facilite le réglage précis du temps et de la température. La sécurité et la praticité font partie de la conception de la CN-AFD45NS. La protection contre la surchauffe et l'arrêt automatique favorisent une utilisation sûre.";"La friteuse à air argentée Comfy Nest CN-AFD45NS à double panier et sans fenêtre apporte une technologie de cuisson pratique à la cuisine. Son moteur puissant de 1700 W et ses deux paniers de 4,5 L permettent de préparer simultanément deux plats différents, chacun avec ses propres réglages. Elle convient aux plats principaux et accompagnements ou à deux recettes distinctes, tout en évitant le mélange des saveurs et l'utilisation de plusieurs appareils. Grâce à la technologie Fry Force 360° et à 10 programmes de cuisson préréglés, la CN-AFD45NS prépare des aliments croustillants avec peu ou pas d'huile. Sa plage de température de 80 °C à 200 °C et sa minuterie jusqu'à 60 minutes permettent de frire, rôtir ou cuire au four. Le panneau de commande tactile numérique facilite le réglage précis du temps et de la température. La sécurité et la praticité font partie de la conception de la CN-AFD45NS. La protection contre la surchauffe et l'arrêt automatique favorisent une utilisation sûre.";"Comfy Nest";"https://www.msy.be/web/image/product.template/3382/image_1920";"https://www.msy.be/web/image/product.image/34893/image_1920";"https://www.msy.be/web/image/product.image/34899/image_1920";"https://www.msy.be/web/image/product.image/34906/image_1920";"https://www.msy.be/web/image/product.image/34915/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"59.90";"";"";"";"";"";"";"";"155";"299.00";"Appareils électroménagers";"Friteuses à air";"";"";"9.40";"";"85166080";"CN";"0";"";"";"9.40";"9.40";"72.600";"44.0";"44.0";"37.5";"44.0";"44.0";"37.5";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"G0129";"4895251803700";"";"Eisenbach G0129 : lot de 2 planches à découper sol";"Le lot de 2 planches à découper solides en bambou Eisenbach G0129 associe résistance et praticité. Fabriquées en bambou, les planches possèdent une surface lisse sans bavure, indiquée comme résistante aux fissures et à la déformation. La texture naturelle du bambou aide les aliments à rester en place pendant la découpe. La dureté modérée de la surface est conçue pour limiter l'usure des lames de couteaux. Le lot comprend deux planches de dimensions différentes : 38x25x2 cm et 35x23x2 cm. Épaisses et résistantes aux marques de découpe, elles conviennent pour hacher, trancher et couper différents ingrédients. Leur conception réversible permet d'utiliser les deux faces pour différentes préparations de légumes, viande ou pain. Les bords faciles à saisir facilitent la manipulation. Légères mais robustes, ces planches conviennent à la cuisine quotidienne et sont conçues pour supporter un usage fréquent. Leur finition en bambou apporte un aspect naturel tout en restant fonctionnelle.";"Le lot de 2 planches à découper solides en bambou Eisenbach G0129 associe résistance et praticité. Fabriquées en bambou, les planches possèdent une surface lisse sans bavure, indiquée comme résistante aux fissures et à la déformation. La texture naturelle du bambou aide les aliments à rester en place pendant la découpe. La dureté modérée de la surface est conçue pour limiter l'usure des lames de couteaux. Le lot comprend deux planches de dimensions différentes : 38x25x2 cm et 35x23x2 cm. Épaisses et résistantes aux marques de découpe, elles conviennent pour hacher, trancher et couper différents ingrédients. Leur conception réversible permet d'utiliser les deux faces pour différentes préparations de légumes, viande ou pain. Les bords faciles à saisir facilitent la manipulation. Légères mais robustes, ces planches conviennent à la cuisine quotidienne et sont conçues pour supporter un usage fréquent. Leur finition en bambou apporte un aspect naturel tout en restant fonctionnelle.";"Eisenbach";"https://www.msy.be/web/image/product.template/3386/image_1920";"https://www.msy.be/web/image/product.image/34927/image_1920";"https://www.msy.be/web/image/product.image/34936/image_1920";"https://www.msy.be/web/image/product.image/34945/image_1920";"https://www.msy.be/web/image/product.image/34952/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"7.70";"";"";"";"";"";"";"";"23";"39.99";"Cuisine & Vaisselle";"Ustensiles de cuisine";"";"";"0.90";"";"44190090";"CN";"0";"";"";"0.90";"0.90";"1.840";"40.0";"23.0";"2.0";"40.0";"23.0";"2.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"MB-A320M-R SI";"4712900986068";"";"ASUS Prime A320M-R-SI";"ASUS Prime A320M-R-SI ASUS Prime est une gamme de cartes mères ASUS destinée à rendre les réglages et la personnalisation accessibles pour les configurations PC DIY. ASUS est un fabricant de cartes mères. La fiche présente une approche de conception et des composants destinés à différents environnements et applications. Elle mentionne une compatibilité avec plus de 1,000 composants et appareils ainsi qu'un minimum de 8,000 heures de validation pour chaque nouveau modèle ; ces données sont des informations du fabricant. La fonction ASUS 5X Protection II regroupe des composants, une conception de circuit et des protections destinées à la stabilité de la carte mère. Prise en charge des processeurs AMD® Ryzen™ AM4 et Athlon™ de 7e génération, avec NVMe M.2, USB 3.0 en façade, LAN gigabit et jusqu'à 32GB de DDR4 Les protections matérielles 5X Protection II sont destinées à la fiabilité des composants FanXpert permet le calibrage dynamique des ventilateurs et l'optimisation du";"ASUS Prime A320M-R-SI ASUS Prime est une gamme de cartes mères ASUS destinée à rendre les réglages et la personnalisation accessibles pour les configurations PC DIY. ASUS est un fabricant de cartes mères. La fiche présente une approche de conception et des composants destinés à différents environnements et applications. Elle mentionne une compatibilité avec plus de 1,000 composants et appareils ainsi qu'un minimum de 8,000 heures de validation pour chaque nouveau modèle ; ces données sont des informations du fabricant. La fonction ASUS 5X Protection II regroupe des composants, une conception de circuit et des protections destinées à la stabilité de la carte mère. Prise en charge des processeurs AMD® Ryzen™ AM4 et Athlon™ de 7e génération, avec NVMe M.2, USB 3.0 en façade, LAN gigabit et jusqu'à 32GB de DDR4 Les protections matérielles 5X Protection II sont destinées à la fiabilité des composants FanXpert permet le calibrage dynamique des ventilateurs et l'optimisation du";"ASUS";"https://www.msy.be/web/image/product.template/2999/image_1920";"https://www.msy.be/web/image/product.image/31920/image_1920";"https://www.msy.be/web/image/product.image/31925/image_1920";"https://www.msy.be/web/image/product.image/31931/image_1920";"https://www.msy.be/web/image/product.image/31940/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"40.00";"";"";"";"";"";"";"";"80";"135.99";"Appareils électroménagers";"Électronique";"";"";"0.50";"";"84733020";"CN";"0";"";"";"0.50";"0.50";"";"16.0";"14.0";"4.0";"16.0";"14.0";"4.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"MB-B650-PLUS";"4711081923381";"";"ASUS Prime B650-PLUS";"ASUS Prime B650-PLUS Les cartes mères ASUS Prime sont conçues pour exploiter le potentiel des processeurs AMD Ryzen série 7000. La PRIME B650-PLUS propose une alimentation robuste, des solutions de refroidissement et des options de réglage via des fonctions logicielles et firmware intuitives. Carte mère ATX AMD B650 avec DDR5, prise en charge M.2 PCIe 5.0, Ethernet Realtek 2,5 Gb, DisplayPort, HDMI®, SATA 6 Gbps, USB 3.2 Gen 2 Type-C®, USB 3.2 Gen 1 Type-C® avant, BIOS FlashBack™, USB4® et Aura Sync Socket AMD AM5 : compatible avec les processeurs AMD Ryzen™ série 7000 pour ordinateur de bureau Connectivité ultrarapide : M.2 PCIe 5.0, Ethernet Realtek 2,5 Gb, USB 3.2 Gen 2 Type-C®, USB 3.2 Gen 1 Type-C® avant et USB4® ASUS OptiMem II : routage étudié des pistes et vias et optimisation des couches de masse pour préserver l'intégrité du signal et améliorer l'overclocking de la mémoire Refroidissement complet : dissipateurs VRM, M.2 et PCH, connecteurs de ventilateurs hybrides et Fan";"ASUS Prime B650-PLUS Les cartes mères ASUS Prime sont conçues pour exploiter le potentiel des processeurs AMD Ryzen série 7000. La PRIME B650-PLUS propose une alimentation robuste, des solutions de refroidissement et des options de réglage via des fonctions logicielles et firmware intuitives. Carte mère ATX AMD B650 avec DDR5, prise en charge M.2 PCIe 5.0, Ethernet Realtek 2,5 Gb, DisplayPort, HDMI®, SATA 6 Gbps, USB 3.2 Gen 2 Type-C®, USB 3.2 Gen 1 Type-C® avant, BIOS FlashBack™, USB4® et Aura Sync Socket AMD AM5 : compatible avec les processeurs AMD Ryzen™ série 7000 pour ordinateur de bureau Connectivité ultrarapide : M.2 PCIe 5.0, Ethernet Realtek 2,5 Gb, USB 3.2 Gen 2 Type-C®, USB 3.2 Gen 1 Type-C® avant et USB4® ASUS OptiMem II : routage étudié des pistes et vias et optimisation des couches de masse pour préserver l'intégrité du signal et améliorer l'overclocking de la mémoire Refroidissement complet : dissipateurs VRM, M.2 et PCH, connecteurs de ventilateurs hybrides et Fan";"ASUS";"https://www.msy.be/web/image/product.template/3000/image_1920";"https://www.msy.be/web/image/product.image/31935/image_1920";"https://www.msy.be/web/image/product.image/31942/image_1920";"https://www.msy.be/web/image/product.image/31951/image_1920";"https://www.msy.be/web/image/product.image/31960/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"140.00";"";"";"";"";"";"";"";"3";"269.99";"Appareils électroménagers";"Électronique";"";"";"1.60";"";"84733020";"CN";"0";"";"";"1.60";"1.60";"10.000";"27.0";"35.0";"7.0";"27.0";"35.0";"7.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"MB-PRIME H610M";"4711081758372";"";"ASUS Prime H610M-R D4 SI";"ASUS Prime H610M-R D4 SI Les cartes mères ASUS Prime sont conçues pour exploiter le potentiel des processeurs Intel® de 12e génération. Avec une alimentation robuste, des solutions de refroidissement complètes et des options de réglage intelligentes, Prime H610 offre aux utilisateurs et aux assembleurs de PC une gamme d'options de réglage des performances via des fonctions logicielles et firmware intuitives. La série Prime H610 est conçue pour gérer les cœurs supplémentaires et la bande passante accrue des processeurs Intel® de 12e génération. Les cartes mères ASUS H610 réunissent les fonctions essentielles pour la productivité quotidienne, avec une alimentation stable, un refroidissement intuitif et des options de transfert flexibles. Le BIOS UEFI ASUS fournit les outils nécessaires pour configurer et régler le système. Il propose des options simplifiées pour les débutants en assemblage PC ainsi que des fonctions complètes pour les utilisateurs expérimentés. Des contrôles complets";"ASUS Prime H610M-R D4 SI Les cartes mères ASUS Prime sont conçues pour exploiter le potentiel des processeurs Intel® de 12e génération. Avec une alimentation robuste, des solutions de refroidissement complètes et des options de réglage intelligentes, Prime H610 offre aux utilisateurs et aux assembleurs de PC une gamme d'options de réglage des performances via des fonctions logicielles et firmware intuitives. La série Prime H610 est conçue pour gérer les cœurs supplémentaires et la bande passante accrue des processeurs Intel® de 12e génération. Les cartes mères ASUS H610 réunissent les fonctions essentielles pour la productivité quotidienne, avec une alimentation stable, un refroidissement intuitif et des options de transfert flexibles. Le BIOS UEFI ASUS fournit les outils nécessaires pour configurer et régler le système. Il propose des options simplifiées pour les débutants en assemblage PC ainsi que des fonctions complètes pour les utilisateurs expérimentés. Des contrôles complets";"ASUS";"https://www.msy.be/web/image/product.template/3004/image_1920";"https://www.msy.be/web/image/product.image/31924/image_1920";"https://www.msy.be/web/image/product.image/31930/image_1920";"https://www.msy.be/web/image/product.image/31941/image_1920";"https://www.msy.be/web/image/product.image/31949/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"63.75";"";"";"";"";"";"";"";"16";"159.00";"Appareils électroménagers";"Électronique";"";"";"0.80";"";"84733020";"CN";"0";"";"";"0.80";"0.80";"1000.000";"25.0";"23.0";"5.0";"25.0";"23.0";"5.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"ASUS AX-5400 ZenWifi DB";"4711081061366";"";"ASUS ZenWiFi XD6 AX5400 2PK, système réseau Mesh 2";"ASUS ZenWiFi XD6 AX5400 2PK, système réseau Mesh 2,4 GHz, 5 GHz ASUS ZenWiFi WiFi partout. Toujours sécurisé. Couverture de toute la maison Le système de la série ZenWiFi XD6 comprend deux routeurs ASUS AX5400 WiFi 6 dotés de technologies conçues pour fournir une connexion WiFi rapide, fiable et sécurisée à l'intérieur comme à l'extérieur de la maison. Configuration du backhaul intelligente et flexible La série ASUS ZenWiFi XD6 propose deux options de liaison backhaul : Ethernet et WiFi. Le routeur sélectionne la méthode la plus fiable selon la qualité de la connexion ; vous pouvez aussi choisir manuellement le type de liaison. WiFi 6 Streaming 8K véritable ZenWiFi XD6 series put your WiFi into top gear! With a total bandwidth of up to 5400 Mbps, it's up to 2.2X faster* than WiFi 5 routers**. * La bande passante de 160 MHz peut ne pas être disponible sur la bande 5 GHz dans certaines régions ou certains pays en raison de restrictions réglementaires. * Un appareil compatible WiFi 6";"ASUS ZenWiFi XD6 AX5400 2PK, système réseau Mesh 2,4 GHz, 5 GHz ASUS ZenWiFi WiFi partout. Toujours sécurisé. Couverture de toute la maison Le système de la série ZenWiFi XD6 comprend deux routeurs ASUS AX5400 WiFi 6 dotés de technologies conçues pour fournir une connexion WiFi rapide, fiable et sécurisée à l'intérieur comme à l'extérieur de la maison. Configuration du backhaul intelligente et flexible La série ASUS ZenWiFi XD6 propose deux options de liaison backhaul : Ethernet et WiFi. Le routeur sélectionne la méthode la plus fiable selon la qualité de la connexion ; vous pouvez aussi choisir manuellement le type de liaison. WiFi 6 Streaming 8K véritable ZenWiFi XD6 series put your WiFi into top gear! With a total bandwidth of up to 5400 Mbps, it's up to 2.2X faster* than WiFi 5 routers**. * La bande passante de 160 MHz peut ne pas être disponible sur la bande 5 GHz dans certaines régions ou certains pays en raison de restrictions réglementaires. * Un appareil compatible WiFi 6";"ASUS";"https://www.msy.be/web/image/product.template/3011/image_1920";"https://www.msy.be/web/image/product.image/32006/image_1920";"https://www.msy.be/web/image/product.image/32010/image_1920";"https://www.msy.be/web/image/product.image/32015/image_1920";"https://www.msy.be/web/image/product.image/32021/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"214.50";"";"";"";"";"";"";"";"2";"355.00";"Appareils électroménagers";"Électronique";"";"";"1.80";"";"85176200";"CN";"0";"";"";"1.80";"1.80";"10.000";"32.0";"18.0";"16.0";"32.0";"18.0";"16.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"GI-007220";"3574590072213";"";"Aiguilles Magic Genius Ideas, 12 pièces";"Genius Ideas GI-007220 : aiguilles Magic, 12 pièces Les aiguilles Magic de Genius Ideas® sont dotées d'un chas ouvert qui facilite le passage du fil et le retient comme une aiguille classique. Leur chas fin de couleur dorée permet au fil de glisser. Le lot comprend 12 aiguilles : 4 aiguilles de 35 mm, 4 de 38 mm et 4 de 42 mm. Matériau : acier inoxydable.";"Genius Ideas GI-007220 : aiguilles Magic, 12 pièces Les aiguilles Magic de Genius Ideas® sont dotées d'un chas ouvert qui facilite le passage du fil et le retient comme une aiguille classique. Leur chas fin de couleur dorée permet au fil de glisser. Le lot comprend 12 aiguilles : 4 aiguilles de 35 mm, 4 de 38 mm et 4 de 42 mm. Matériau : acier inoxydable.";"Genius Ideas";"https://www.msy.be/web/image/product.template/2791/image_1920";"https://www.msy.be/web/image/product.image/30496/image_1920";"https://www.msy.be/web/image/product.image/30501/image_1920";"https://www.msy.be/web/image/product.image/30505/image_1920";"https://www.msy.be/web/image/product.image/30511/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"1.10";"";"";"";"";"";"";"";"351";"5.40";"Outils et bricolage";"Outils à main";"";"";"0.02";"";"73199010";"CN";"0";"";"";"0.02";"0.02";"0.100";"13.0";"8.0";"1.0";"13.0";"8.0";"1.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"HG-8116";"5404035001189";"";"Aiguiseur de couteaux Herzberg à 3 niveaux";"Cet aiguiseur de couteaux Herzberg possède un système à 3 fentes pour affûter et polir les couteaux de cuisine. La lame en acier tungstène sert à l'affûtage grossier et à la restauration du tranchant en V. Les deux tiges en céramique servent à l'affûtage fin, au polissage et au retrait des bavures. Caractéristiques : La poignée ergonomique est confortable à tenir et la base antidérapante empêche l'aiguiseur de glisser sur le plan de travail. Convient à l'affûtage de couteaux droits en acier inoxydable, de couteaux de survie, de chasse, multifonctions, à steak, à filet et de poche. Fabriqué en plastique ABS, acier tungstène et céramique, ce produit est conçu pour un usage durable. La poignée convient aux droitiers comme aux gauchers. Cet aiguiseur permet de maintenir le tranchant des couteaux selon les besoins. La tête de meulage amovible rend l'outil robuste et permet son utilisation répétée. L'aiguiseur de couteaux de cuisine peut être utilisé à plusieurs reprises et convient aux";"Cet aiguiseur de couteaux Herzberg possède un système à 3 fentes pour affûter et polir les couteaux de cuisine. La lame en acier tungstène sert à l'affûtage grossier et à la restauration du tranchant en V. Les deux tiges en céramique servent à l'affûtage fin, au polissage et au retrait des bavures. Caractéristiques : La poignée ergonomique est confortable à tenir et la base antidérapante empêche l'aiguiseur de glisser sur le plan de travail. Convient à l'affûtage de couteaux droits en acier inoxydable, de couteaux de survie, de chasse, multifonctions, à steak, à filet et de poche. Fabriqué en plastique ABS, acier tungstène et céramique, ce produit est conçu pour un usage durable. La poignée convient aux droitiers comme aux gauchers. Cet aiguiseur permet de maintenir le tranchant des couteaux selon les besoins. La tête de meulage amovible rend l'outil robuste et permet son utilisation répétée. L'aiguiseur de couteaux de cuisine peut être utilisé à plusieurs reprises et convient aux";"Herzberg Cooking";"https://www.msy.be/web/image/product.template/2920/image_1920";"https://www.msy.be/web/image/product.image/31427/image_1920";"https://www.msy.be/web/image/product.image/31437/image_1920";"https://www.msy.be/web/image/product.image/31442/image_1920";"https://www.msy.be/web/image/product.image/31444/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"4.20";"";"";"";"";"";"";"";"200";"19.99";"Cuisine & Vaisselle";"Couteaux de cuisine";"";"";"0.20";"";"82100000";"CN";"0";"";"";"0.20";"0.20";"0.810";"19.0";"5.0";"8.5";"19.0";"5.0";"8.5";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"ED-26581";"8711252265810";"";"Alpina ED-26581 : étendoir à linge télescopique de";"Alpina ED-26581 : étendoir à linge télescopique de rangement L'étendoir à linge télescopique Alpina ED-26581 associe un style industriel et champêtre pour la décoration intérieure. Il convient à la chambre, au salon, à la buanderie ou à une boutique. Sa conception facilite le rangement et l'accès aux vêtements. Caractéristiques : Fabriqué avec des matériaux de qualité annoncés comme durables. Barre réglable selon les besoins. Quatre roulettes facilitent le déplacement. Les vis du portant double peuvent être tournées pour obtenir trois positions d'étagère. Les deux tubes métalliques parallèles servent au rangement de chaussures ou de boîtes, tandis que les deux barres latérales permettent de suspendre les vêtements. Fabriqué en acier et en plastique ; utilisation intérieure et extérieure indiquée. Conception pliable et facile à utiliser, avec roulettes inférieures pour faciliter le déplacement. Une double barre de suspension à différentes hauteurs offre un espace supplémentaire pour";"Alpina ED-26581 : étendoir à linge télescopique de rangement L'étendoir à linge télescopique Alpina ED-26581 associe un style industriel et champêtre pour la décoration intérieure. Il convient à la chambre, au salon, à la buanderie ou à une boutique. Sa conception facilite le rangement et l'accès aux vêtements. Caractéristiques : Fabriqué avec des matériaux de qualité annoncés comme durables. Barre réglable selon les besoins. Quatre roulettes facilitent le déplacement. Les vis du portant double peuvent être tournées pour obtenir trois positions d'étagère. Les deux tubes métalliques parallèles servent au rangement de chaussures ou de boîtes, tandis que les deux barres latérales permettent de suspendre les vêtements. Fabriqué en acier et en plastique ; utilisation intérieure et extérieure indiquée. Conception pliable et facile à utiliser, avec roulettes inférieures pour faciliter le déplacement. Une double barre de suspension à différentes hauteurs offre un espace supplémentaire pour";"Alpina";"https://www.msy.be/web/image/product.template/2910/image_1920";"https://www.msy.be/web/image/product.image/31360/image_1920";"https://www.msy.be/web/image/product.image/31368/image_1920";"https://www.msy.be/web/image/product.image/31373/image_1920";"https://www.msy.be/web/image/product.image/31379/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"12.85";"";"";"";"";"";"";"";"18";"69.00";"Maison et vie";"Organisateur de garde-robe et de vêtements";"";"";"2.43";"";"73239900";"CN";"0";"";"";"2.43";"2.43";"50.000";"15.5";"41.0";"75.0";"15.5";"41.0";"75.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
"fr";"ED-26883";"8711252268835";"";"Appareil d'entraînement abdominal et rouleau de cr";"Umbro ED-26883 : appareil d'entraînement abdominal et rouleau de crunch Cet appareil Umbro est destiné aux exercices des muscles abdominaux et propose plusieurs positions de mouvement. Son format permet de travailler différentes zones du tronc selon l'exercice choisi. Sa structure ergonomique et son mouvement guidé sont conçus pour accompagner les séances de fitness. Utilisez l'appareil selon les instructions et vos capacités. Cet appareil abdominal est conçu pour des exercices du tronc à domicile. Il s'utilise avec un mouvement naturel et permet de varier les exercices selon la zone ciblée. Caractéristiques : Appareil destiné aux exercices et au renforcement du tronc. Permet de varier les exercices ciblant les muscles abdominaux. Les appareils abdominaux sont généralement conçus pour les exercices du tronc. Le mouvement de l'appareil accompagne les exercices du tronc. Le mouvement guidé peut aider à maintenir une position régulière pendant l'exercice. Appareil de fitness adapté à";"Umbro ED-26883 : appareil d'entraînement abdominal et rouleau de crunch Cet appareil Umbro est destiné aux exercices des muscles abdominaux et propose plusieurs positions de mouvement. Son format permet de travailler différentes zones du tronc selon l'exercice choisi. Sa structure ergonomique et son mouvement guidé sont conçus pour accompagner les séances de fitness. Utilisez l'appareil selon les instructions et vos capacités. Cet appareil abdominal est conçu pour des exercices du tronc à domicile. Il s'utilise avec un mouvement naturel et permet de varier les exercices selon la zone ciblée. Caractéristiques : Appareil destiné aux exercices et au renforcement du tronc. Permet de varier les exercices ciblant les muscles abdominaux. Les appareils abdominaux sont généralement conçus pour les exercices du tronc. Le mouvement de l'appareil accompagne les exercices du tronc. Le mouvement guidé peut aider à maintenir une position régulière pendant l'exercice. Appareil de fitness adapté à";"Umbro";"https://www.msy.be/web/image/product.template/2842/image_1920";"https://www.msy.be/web/image/product.image/30937/image_1920";"https://www.msy.be/web/image/product.image/30945/image_1920";"https://www.msy.be/web/image/product.image/30951/image_1920";"https://www.msy.be/web/image/product.image/30955/image_1920";"";"";"";"";"";"EUR";"21";"1";"1";"23.00";"";"";"";"";"";"";"";"8";"110.00";"Remise en forme et sport";"Fitness à domicile";"";"";"3.16";"";"95069190";"CN";"0";"";"";"3.16";"3.16";"307.260";"73.0";"61.0";"69.0";"73.0";"61.0";"69.0";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"FR, NL, DE, EN";"MSY Invest";"Belgium";"info@msy.be";"";"";"";"";"";"";"";""
